Flying Blaze,♞,0.8390000000000001,1,1,1,1.0
Silver Shadow,♗,0.49900000000000005,2,1,0,0.0
Thunder Star,♖,0.9199999999999999,3,1,0,0.0
Midnight Star,♗,0.565,4,1,0,0.0
Flying Blaze,♞,0.889,1,2,2,1.0
Silver Shadow,♗,0.499,2,2,0,0.0
Thunder Star,♖,0.92,3,2,0,0.0
Midnight Star,♗,0.5149999999999999,4,2,0,0.0
Flying Blaze,♞,0.9390000000000001,1,3,3,1.0
Silver Shadow,♗,0.499,2,3,0,0.0
Thunder Star,♖,0.92,3,3,0,0.0
Midnight Star,♗,0.465,4,3,0,0.0
Flying Blaze,♞,0.889,1,4,3,0.75
Silver Shadow,♗,0.499,2,4,0,0.0
Thunder Star,♖,0.9700000000000001,3,4,1,0.25
Midnight Star,♗,0.465,4,4,0,0.0
Flying Blaze,♞,0.839,1,5,3,0.6
Silver Shadow,♗,0.449,2,5,0,0.0
Thunder Star,♖,0.92,3,5,1,0.2
Midnight Star,♗,0.515,4,5,1,0.2
Flying Blaze,♞,0.889,1,6,4,0.6666666666666666
Silver Shadow,♗,0.449,2,6,0,0.0
Thunder Star,♖,0.87,3,6,1,0.16666666666666666
Midnight Star,♗,0.515,4,6,1,0.16666666666666666
Flying Blaze,♞,0.9390000000000001,1,7,5,0.7142857142857143
Silver Shadow,♗,0.449,2,7,0,0.0
Thunder Star,♖,0.82,3,7,1,0.14285714285714285
Midnight Star,♗,0.515,4,7,1,0.14285714285714285
